experiment_id,feature,model,feature_dimensions,fit_seconds,prediction_seconds,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,validation_weighted_f1,negative_precision,negative_recall,negative_f1,neutral_precision,neutral_recall,neutral_f1,positive_precision,positive_recall,positive_f1
exp04,combined,logistic_regression,216107,29.4336,0.006,0.7,0.6819867467917814,0.645497610687484,0.6579620027888405,0.6960768571685013,0.6106194690265486,0.4423076923076923,0.5130111524163569,0.6670010030090271,0.7652474108170311,0.7127545551982851,0.7683397683397684,0.7289377289377289,0.7481203007518797
exp07,combined,linear_svm,216107,8.1167,0.0068,0.683,0.6617064219913168,0.6474510018813816,0.6536405018747081,0.6818981207836614,0.5818181818181818,0.5128205128205128,0.545144804088586,0.6644951140065146,0.7042577675489068,0.6837988826815642,0.7388059701492538,0.7252747252747253,0.7319778188539742
exp03,character,logistic_regression,120000,11.5338,0.0033,0.69,0.6736308857200521,0.6333190953444118,0.6462933646373962,0.6855907771075589,0.6027397260273972,0.4230769230769231,0.4971751412429379,0.6529814271749755,0.7686996547756041,0.7061310782241015,0.7651715039577837,0.7081807081807082,0.735573874445149
exp06,character,linear_svm,120000,6.2422,0.0065,0.6705,0.6505555409664999,0.6299071884514923,0.6382143280744274,0.6686885216028965,0.5752895752895753,0.4775641025641026,0.521891418563923,0.649104320337197,0.7088607594936709,0.6776677667766776,0.7272727272727273,0.7032967032967034,0.7150837988826816
exp02,word_bigram,logistic_regression,96107,4.9016,0.0006,0.681,0.6770170942742707,0.6206552472375256,0.636719573469787,0.6749836624004842,0.6458333333333334,0.3974358974358974,0.49206349206349204,0.6417624521072797,0.7710011507479861,0.7004704652378463,0.743455497382199,0.6935286935286935,0.7176247631080227
exp05,word_bigram,linear_svm,96107,1.2824,0.001,0.668,0.648602936669063,0.6244482193849282,0.6337478188240391,0.6658034445578016,0.5737051792828686,0.46153846153846156,0.5115452930728241,0.6428571428571429,0.714614499424626,0.6768392370572207,0.7292464878671775,0.6971916971916972,0.7128589263420724
exp01,word_unigram,logistic_regression,19667,1.6237,0.0006,0.673,0.6618772383229978,0.6083782017326321,0.6229723292392461,0.6660413494023509,0.6117021276595744,0.3685897435897436,0.46,0.6359269932756965,0.761795166858458,0.6931937172774869,0.7380025940337225,0.6947496947496947,0.7157232704402515
exp08,word_bigram,naive_bayes,96107,0.0854,0.0015,0.626,0.7580322226458572,0.4954606457771014,0.4592434060006876,0.5760267101248266,1.0,0.009615384615384616,0.01904761904761905,0.5768261964735516,0.7905638665132336,0.6669902912621359,0.6972704714640199,0.6862026862026862,0.6916923076923077
exp09,word_bigram,random_forest,96107,1.1416,0.0239,0.5405,0.43924817941079114,0.4205541294148889,0.36506387501685184,0.46464081451278344,0.0,0.0,0.0,0.48879716981132076,0.953970080552359,0.6463937621832359,0.8289473684210527,0.3076923076923077,0.44879786286731965
