model,stage,params,mean_cv_macro_f1,std_cv_macro_f1,rank_within_stage,mean_fit_seconds,mean_score_seconds,fold_scores
logistic_regression,features,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}",0.6544320098932724,0.0019497767110905368,2,16.856722116470337,3.5122984250386557,"[0.6570201896912761, 0.6539615933728444, 0.6523142466156969]"
logistic_regression,features,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""features__transformer_weights"": {""character"": 0.75, ""word"": 1.0}}",0.6528904974288215,0.0025679746284173054,5,26.571519056955974,3.6143895785013833,"[0.6564571604787823, 0.6516995564459043, 0.650514775361778]"
logistic_regression,features,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""features__transformer_weights"": {""character"": 1.25, ""word"": 1.0}}",0.654461997478872,0.002081632413306979,1,27.850745995839436,3.6359822750091553,"[0.6573521074045712, 0.653501956659349, 0.6525319283726959]"
logistic_regression,features,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""features__word__min_df"": 3}",0.6537177895300913,0.001740831852116312,4,25.15514024098714,3.540048837661743,"[0.6561792841708914, 0.6524479729634952, 0.6525261114558873]"
logistic_regression,features,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced"", ""features__character__ngram_range"": [3, 6]}",0.6540870648703437,0.003354675561916716,3,33.07226045926412,3.997762123743693,"[0.6570107441946743, 0.6558609394407618, 0.6493895109755949]"
linear_svm,classifier,"{""classifier__C"": 0.25, ""classifier__class_weight"": null}",0.6360987278140767,0.0011509871036793024,3,3.9830852349599204,3.5067418416341147,"[0.6363785640738319, 0.6345701319965954, 0.6373474873718031]"
linear_svm,classifier,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced""}",0.6517380521482719,0.0016456785983268243,1,4.188012599945068,3.5095141728719077,"[0.6511701532554418, 0.6500673903266522, 0.6539766128627216]"
linear_svm,classifier,"{""classifier__C"": 0.5, ""classifier__class_weight"": null}",0.6347770186231223,0.002383390181303122,4,4.756160338719686,3.6204508940378823,"[0.6355954836784135, 0.63153610649682, 0.6371994656941334]"
linear_svm,classifier,"{""classifier__C"": 0.5, ""classifier__class_weight"": ""balanced""}",0.6440046713373165,0.0012838992137350247,2,5.017995834350586,3.5667073726654053,"[0.643688626316741, 0.642614248677354, 0.6457111390178544]"
linear_svm,classifier,"{""classifier__C"": 1.0, ""classifier__class_weight"": null}",0.6287359980714208,0.0007765492189190672,6,6.366971095403035,3.5053037802378335,"[0.6294812055270147, 0.62766479401425, 0.6290619946729975]"
linear_svm,classifier,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}",0.6342021942536484,0.00020866203091124928,5,6.791489362716675,3.5767744382222495,"[0.6340332430195432, 0.6340771433208637, 0.6344961964205384]"
linear_svm,classifier,"{""classifier__C"": 2.0, ""classifier__class_weight"": null}",0.6209760614807319,0.0006538994594830642,8,9.64008378982544,3.5556352933247886,"[0.6207438060013826, 0.621867379389915, 0.6203169990508981]"
linear_svm,classifier,"{""classifier__C"": 2.0, ""classifier__class_weight"": ""balanced""}",0.6253923865343232,0.0015767220864273894,7,9.92048954963684,3.6097793579101562,"[0.6271574416807398, 0.625689907288228, 0.6233298106340015]"
linear_svm,classifier,"{""classifier__C"": 4.0, ""classifier__class_weight"": null}",0.6152975737267671,0.0009743431745683576,10,15.786302963892618,3.5158286889394126,"[0.615439324988254, 0.6164136887731742, 0.6140397074188733]"
linear_svm,classifier,"{""classifier__C"": 4.0, ""classifier__class_weight"": ""balanced""}",0.6178221397039952,0.0011968886263017784,9,16.10962375005086,3.6279753049214682,"[0.6174811247594328, 0.6194284727859327, 0.6165568215666203]"
linear_svm,features,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced""}",0.6517380521482719,0.0016456785983268243,1,4.154538710912068,3.5604938666025796,"[0.6511701532554418, 0.6500673903266522, 0.6539766128627216]"
linear_svm,features,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced"", ""features__transformer_weights"": {""character"": 0.75, ""word"": 1.0}}",0.6511544500579624,0.0016764660064078085,3,4.068974018096924,3.6034017403920493,"[0.6529395645031704, 0.6489106592437489, 0.6516131264269677]"
linear_svm,features,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced"", ""features__transformer_weights"": {""character"": 1.25, ""word"": 1.0}}",0.6512276893543244,0.001954480553974353,2,4.24502960840861,3.507936477661133,"[0.6505966810471082, 0.6492126650826684, 0.6538737219331966]"
linear_svm,features,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced"", ""features__word__min_df"": 3}",0.650892046961341,0.001276296382024061,4,3.84948992729187,3.582085927327474,"[0.6520592801775663, 0.6491161327199351, 0.6515007279865217]"
linear_svm,features,"{""classifier__C"": 0.25, ""classifier__class_weight"": ""balanced"", ""features__character__ngram_range"": [3, 6]}",0.6506891076286171,0.001634594516773256,5,4.387259642283122,4.0317478974660235,"[0.6525491782870234, 0.6485703958460846, 0.6509477487527433]"
