model,cv_macro_f1,cv_std,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,negative_f1,neutral_f1,positive_f1,fit_seconds,predict_seconds
logistic_regression,0.654461997478872,0.0020816324133069,0.6925,0.6642144985624875,0.6890724137559582,0.6728487359192367,0.584958217270195,0.6860879904875149,0.7475,21.72860600001877,0.3024272000184282
linear_svm,0.6517380521482719,0.0016456785983268,0.6975,0.6692986315738466,0.6771111565415363,0.6725854536794258,0.5709923664122137,0.6994285714285714,0.7473354231974921,12.3237189000356,0.3007092000334523
hard_vote,0.654461997478872,0.0020816324133069,0.6925,0.6642144985624875,0.6890724137559582,0.6728487359192367,0.584958217270195,0.6860879904875149,0.7475,34.05232490005437,0.6031364000518806
soft_vote,0.6558200250032388,0.0016924756396544,0.7015,0.6725799620713468,0.6844759202354139,0.6776036929864072,0.5787106446776612,0.7009832272990167,0.7531172069825436,53.10150850005448,1.1962423999793828
stacking,0.6479917679042937,0.0018625424384187,0.706,0.6916055483566549,0.6691577292843115,0.6780688164738059,0.5753899480069324,0.7108695652173913,0.7479469361970941,118.96272910007974,0.6021345999906771
xgboost,0.5656831219912112,0.0011320581350397533,0.563,0.5568992896977196,0.5627294646281987,0.5412094457632814,0.445,0.6086956521739131,0.5699326851159312,68.96838600002229,0.1665876000188291
