params,mean_cv_macro_f1,std_cv_macro_f1,fold_scores
"{""C"": 0.1, ""class_weight"": null}",0.6470261240681355,0.001601361225730416,"[0.6482775566863564, 0.6447657903834754, 0.6480350251345746]"
"{""C"": 0.1, ""class_weight"": ""balanced""}",0.6461535357542867,0.003141975881071709,"[0.6505508670409622, 0.6445077053687548, 0.6434020348531432]"
"{""C"": 1.0, ""class_weight"": null}",0.6479917679042937,0.0018625424384187703,"[0.6492672744892343, 0.6453581667428222, 0.6493498624808244]"
"{""C"": 1.0, ""class_weight"": ""balanced""}",0.6468813476871319,0.0028887370614877005,"[0.6508654227206737, 0.6456719737704791, 0.6441066465702426]"
