lr_weight,svm_weight,mean_cv_macro_f1,std_cv_macro_f1,fold_scores
0.3,0.7,0.6487913224146183,0.0024553649730385497,"[0.6507708552558403, 0.6453308651950345, 0.6502722467929805]"
0.4,0.6,0.6511410240747368,0.0023485007624296323,"[0.6533960683739887, 0.6479018047041515, 0.6521251991460703]"
0.5,0.5,0.6536319948970236,0.0022739663379893462,"[0.656756012947359, 0.6514091017856902, 0.6527308699580215]"
0.6,0.4,0.6548832798015648,0.0012096083893620286,"[0.6565818994514944, 0.6538586213322439, 0.6542093186209563]"
0.7,0.30000000000000004,0.6558200250032388,0.001692475639654466,"[0.6580896831577178, 0.6540270169362169, 0.6553433749157817]"
